date, pm25, pm10, o3, no2, so2, co,
1/10/2021,54,31,14,3, , ,
2/10/2021,60,34,11,5, , ,
3/10/2021,67,32,10,2,4, ,
4/10/2021,64,38,4,4,11, ,
5/10/2021,69,27,7,3,5, ,
6/10/2021,53,24,8,3,1, ,
7/10/2021,46,23,6,2,2, ,
8/10/2021,43,30,5,3,1, ,
9/10/2021,55,28,7,2,3, ,
10/10/2021,55,36,10,4,1, ,
11/10/2021,63,34,10,4,1, ,
12/10/2021,65,33,8,2, , ,
13/10/2021,57,32,13,4, , ,
14/10/2021,61,41,14,4,1, ,
15/10/2021,78,34,15,3,1, ,
16/10/2021,68,24,8,2, , ,
17/10/2021,53,29,12,3, , ,
18/10/2021,60,21,10,2, , ,
19/10/2021,42,32,8,4,14, ,
20/10/2021,63,29,8,4, , ,
21/10/2021,55,32,12,5, , ,
22/10/2021,64,37,15,5, , ,
23/10/2021,74,28,10,5, , ,
24/10/2021,59,35,10,5, , ,
25/10/2021,68,29,11,3, , ,
26/10/2021,58,26,10,4, , ,
27/10/2021,51,29,15, , , ,
28/10/2021,58,23,10,1, , ,
29/10/2021,47,23,10,2, , ,
30/10/2021,49,23,7,2, , ,
31/10/2021,50,22,8,2, , ,
1/11/2021,48,32,7,4, , ,
2/11/2021,68,26,10,3,2, ,
3/11/2021,48,22,7,2, , ,
4/11/2021,47,18,6,1, , ,
5/11/2021,38,31,15,4, , ,
6/11/2021,72,20,10,2, , ,
7/11/2021,40,25,11,2, , ,
8/11/2021,51,21,7,2, , ,
9/11/2021,39,20,7,3, , ,
10/11/2021,38,17,7,3, , ,
11/11/2021,36,17,8,2, , ,
12/11/2021,36,29,4,4, , ,
13/11/2021,55,30,7,3, , ,
14/11/2021,57,33,9,3, , ,
15/11/2021,60,24,8,1, , ,
16/11/2021,47,17,7,1, , ,
17/11/2021,34,21,8,3, , ,
18/11/2021,41,26,14,4, , ,
19/11/2021,49,29,9,3, , ,
20/11/2021,55,31,10,3, , ,
21/11/2021,62,24,8,3, , ,
22/11/2021,50,22,9,3, , ,
23/11/2021,44,17,7,2, , ,
24/11/2021,31,19,8,3, , ,
25/11/2021,39,19,10,2, , ,
26/11/2021,36,22,14,3, , ,
27/11/2021,46,19,12,4, , ,
28/11/2021,42,18,11,4, , ,
29/11/2021,48,22,14,3, , ,
30/11/2021,43,22,9,3, , ,
1/12/2021,43,20,13,2, , ,
2/12/2021,40,28,16,2, , ,
3/12/2021,56,30,17,2,3, ,
4/12/2021,86,30,20,2,2, ,
5/12/2021,60,33,20,3,2, ,
6/12/2021,61,30,21,2, , ,
7/12/2021,56,29,21,1, , ,
8/12/2021,52,35,19,3, , ,
9/12/2021,67,30,14,2, , ,
10/12/2021,54,31,15,1, , ,
11/12/2021,55,34,17,2, , ,
12/12/2021,58,32,15,2, , ,
13/12/2021,55,33,15,2, , ,
14/12/2021,56,34,20,1, , ,
15/12/2021,62,40,21,2, , ,
16/12/2021,79,27,16,3, , ,
17/12/2021,65,32,15,1, , ,
18/12/2021,61,32,11,4, , ,
19/12/2021,62,30,16,2, , ,
20/12/2021,56,30,15,2, , ,
21/12/2021,62,27,16,3, , ,
22/12/2021,55,33,16,2, , ,
23/12/2021,66,28,13,2, , ,
24/12/2021,58,27,9,2, , ,
25/12/2021,54,27,7,1, , ,
26/12/2021,52,31,8,2, , ,
27/12/2021,62,30,12,1, , ,
28/12/2021,62,23,10, , , ,
29/12/2021,42,30,14, , , ,
30/12/2021,52,35,13,1, , ,
31/12/2021,56,33,14, , , ,
1/1/2022,60, , , , , ,
1/7/2021,60,33,12,3, , ,
2/7/2021,66,30,8,3, , ,
3/7/2021,59,29,7,3, , ,
4/7/2021,56,29,6,4, , ,
5/7/2021,54,32,6,3, , ,
6/7/2021,58,29,6,3, , ,
7/7/2021,54,35,10,4, , ,
8/7/2021,63,29,5,5, , ,
9/7/2021,59,21,6,3, , ,
10/7/2021,39,21,7,2, , ,
11/7/2021,41,32,10,3, , ,
12/7/2021,60,29,13,3, , ,
13/7/2021,56,34,13,4,1, ,
14/7/2021,65,33,12,4, , ,
15/7/2021,62,28,12,2, , ,
16/7/2021,57,40,17,3, , ,
17/7/2021,74,48,14,2, , ,
18/7/2021,91,48,13,5, , ,
19/7/2021,90,43,11,3, , ,
20/7/2021,78,48,13,3, , ,
21/7/2021,89,44,17,3, , ,
22/7/2021,82,43,10,5, , ,
23/7/2021,83,36,9,5, , ,
24/7/2021,69,32,9,3, , ,
25/7/2021,62,38,8,4, , ,
26/7/2021,71,31,6,3, , ,
27/7/2021,53,28,8,3,6, ,
28/7/2021,50,31,8,4, , ,
29/7/2021,60,24,5,4, , ,
30/7/2021,46,28,6,4, , ,
31/7/2021,56,24,7,2,2, ,
1/8/2021,42,28,7,4, , ,
2/8/2021,51,30,7,3, , ,
3/8/2021,52,25,7,2, , ,
4/8/2021,43,26,8,2, , ,
5/8/2021,50,39,9,4,4, ,
6/8/2021,76,34,9,3, , ,
7/8/2021,64,27,15,2, , ,
8/8/2021,49,31,6,3, , ,
9/8/2021,56,21,6,1, , ,
10/8/2021,43,25,21,3, , ,
11/8/2021,49,31,195,3, , ,
12/8/2021,60,32,49,2, , ,
13/8/2021,70,34,50,3, , ,
14/8/2021,67,31,8,4, , ,
15/8/2021,65,26,6,3, , ,
16/8/2021,55,27,8,3, , ,
17/8/2021,52,31,52,3, , ,
18/8/2021,61,30,12,3, , ,
19/8/2021,58,26,10,3, , ,
20/8/2021,54,33,15,3, , ,
21/8/2021,77,24,7,2, , ,
22/8/2021,48,27,8,4, , ,
23/8/2021,50,26,5,3, , ,
24/8/2021,51,28,6,3, , ,
25/8/2021,53,25,8,2, , ,
26/8/2021,46,33,8,3, , ,
27/8/2021,60,37,12,4, , ,
28/8/2021,73,34,11,3, , ,
29/8/2021,73,31,11,3, , ,
30/8/2021,64,26,7,3, , ,
31/8/2021,54,33,7,3,2, ,
1/9/2021,64,31,6,4,2, ,
2/9/2021,60,38,11,5,3, ,
3/9/2021,73,41,12,5,6, ,
4/9/2021,72,49,9,6,7, ,
5/9/2021,96,40,8,4, , ,
6/9/2021,73,37,6,3,2, ,
