StudentID,Weight,Height
1,55,160
2,69,168
3,45,168
4,55,160
5,42,165
6,43,154.5
7,45,159
8,50,162
9,58,160
10,54,155
11,50,174
12,65,177
13,60,165
14,57,162
15,47,158
16,48,164
17,57,175
18,58,154
19,53,156
20,55,165
21,47,165
22,42,157
23,58,176
24,73,178
25,42,162
26,56,166
27,46,165
28,49,155
29,50,163
30,49,173
31,49,160
32,81,175
33,65,170
34,50,173
35,65,172
36,42,166
37,42,157
38,52,157
39,48,160
40,47,163
41,52,165
42,40,153
43,57,171
44,45,155
45,55,163
46,48,156
47,53,162
48,55,173
49,62,163
50,56,174
51,45,159
52,47,153
53,44,155
54,72,173
55,60,160
56,52,160
57,49,164
58,41,160
59,63,175
60,55,158
61,40,162
62,77,165
63,42,160
64,51,169
65,60,180
66,92,173
67,83,170
68,72,175
69,65,186
70,66,168
71,80,185
72,64,173
73,75,170
74,56,155
75,68,182
76,45,155
77,45,159
78,47,154
79,38,158
80,57,168
81,58,163
82,45,161
83,46,163
84,48,170
85,51,175
86,65,172
87,45,163
88,51,170
89,58,175
90,65,167
91,54,162
92,48,149
93,52,165
94,42,159
95,56,174
96,57,168
97,50,175
98,92,168
99,78,180
100,61,173
101,80,170
102,49,175
103,50,170
104,45,158
105,75,175
106,48,166
107,66,174
108,65,171
109,82,183
110,45,157
111,43.5,165
112,46,157
113,55,156
114,53,175
115,73,170
116,60,173
117,45,155
118,55,166
119,72,181
120,75,177
121,48,165
122,72,175
123,40,154
124,68,171
125,65,174
126,60,170
127,43,160
128,49,163
129,50,163
130,65,174
131,51,172
132,40,153
133,41,165
134,57,153
135,38,150
136,42,153
137,42.5,159
138,45,158.5
139,52,154
140,45,158
141,73,177
142,70,174
143,56,159
144,67,171
145,62,160
146,67,168
147,89,173
148,49,165
149,46,154
150,50,174
151,65,168
152,95,182
153,58,176
154,72,169
155,70,176
156,43,170
157,65,165
158,70,175
159,58,162
160,40,158
161,75,162
162,47,162
163,56,160
164,52,153
165,44,158
166,58,166
167,75,175
168,64,178
169,37,153
170,49,168
171,50,155
172,62,163
173,80,180
174,65,175
175,45,157
176,65,174
177,53,157
178,82.4,180
179,63,174
180,56,167
181,60,170
182,55,164
183,50,162
184,44,156
185,43,157
186,40,152
187,52,182
188,42,157
189,55,165
190,63,179
191,56,163
192,42,159
193,48,168
194,65,177
195,52,158
196,52,163
197,51,171
198,46,160
199,60,165
200,84,179
201,61,151
202,54,168
203,50,155
204,55.5,169
205,68,170
206,60,170
207,45,164
208,77,181
209,40,155
210,90,170
211,60,180
212,49,155
213,50,175
214,60,165
215,50,163
216,60,158
217,47,159
218,71,176
219,55,167
220,63,166
221,56,162
222,63,170
223,59,165
224,70,175
225,50,163
226,56,165
227,72,168
228,50,162
229,63,173
230,65,174
231,44,155
232,58,165
233,44,158
234,55,166
235,46,155
236,72.5,164
237,49,167
238,66,158
239,60,163
240,55,155
241,38.5,156
242,46.5,162
243,46,157
244,90,180
245,58,163
246,54,165
247,62,171
248,53,170
249,78,167
250,46,160
251,55,148
252,60,160
253,68,161
254,71,163
255,68,172
256,78,177
257,54,177
258,47,158
259,68,170
260,46,157
261,43,155
262,56,178
